Domain,Date,Name,Title,Review,Positive keywords,Negative keywords,Positive genre,Negative genre,Eg,Talk abt other apps,Other apps reviews talk abt,Remarks,keywords,Rating,Word count,Extracted words (NLTK)
Investing,12/11/2021 23:11,personal-capital-investing,Simple to understand all your financial picture,"there are lots of apps out there that can give you your financial picture, but i have found personal capital's approach to be the easiest. it also helps that you have a team of financial experts backing up your portfolio and giving you guidance.","give, financial picture, approach, easiest",,usability,,,1,,,,5,19,"lots,apps,give,financial,picture,found,personal,capital,approach,easiest,also,helps,team,financial,experts,backing,portfolio,giving,guidance"
Investing,7/12/2021 17:27,invest-trade-m1-finance,Great investment brokerage,"best brokerage for long term investors. if you're looking to day trade, m1 isn't for you.",,,,,,,,,,5,10,"best,brokerage,long,term,investors,looking,day,trade,m1,not"
Investing,7/28/2022 3:15,stash-invest-build-wealth,Can't get stash party info.,"i haven't gotten a party invite in months.  so if this is how your going to keep things going i will cancel my membership and get my money back.  it says i'm signed up but don't get anything from stash. 

secondly.  i have requested to have the paper statements stopped and there is never a response and they keep coming.  this is also getting old.   and i'm being charged for something i don't want.",,"requested, paper statements, stoppped, never, response, charged, not want",,"customer service, reliability",,,,,,1,36,"not,gotten,party,invite,months,going,keep,things,going,cancel,membership,get,money,back,says,signed,not,get,anything,stash,secondly,requested,paper,statements,stopped,never,response,keep,coming,also,getting,old,charged,something,not,want"
Investing,2/11/2021 20:14,uphold-buy-btc-eth-xrp,Scam,intense scam. holding money for a 63day settlement period where it preciously stated 2-5days max. although you can not withdraw you can still add money which to me is comical. send emails and support tickets. no response but there are still email after email advertising stocks... just never a response. this company is a joke and i believe legal action needs to be taken for anyone who has dealt with them,,"internet, scam, holding money, not withdraw, add money, comical, emails, support tickets, no response, email advertising stocks, company, joke, legal action",,"fradulent activity, reliability, customer service",,,,,,1,39,"intense,scam,holding,money,63day,settlement,period,preciously,stated,2-5days,max,although,withdraw,still,add,money,comical,send,emails,support,tickets,response,still,email,email,advertising,stocks,...,never,response,company,joke,believe,legal,action,needs,taken,anyone,dealt"
Investing,6/8/2021 16:19,robinhood-investing-for-all,Crappy Customer No Service,"i have been waiting for 4 days to be approved. the app keeps telling me i need to send a picture of my bank statement which i did and did everything it asked for.  i sent it to them at least 5 times.  showed the account number, name of bank, my full name and address.  then it comes back that i'm unable to be approved at this time with no explanation as to why i am being denied.  then if i have questions to contact customer service.  i click on customer service and it gives me automated questions with automated answers.  no help whatsoever ever!!!! who the heck do we talk to?  i do not recommend this app at all.  you have customers who have questions but there is nobody to talk to.  you email them and do nothing get a response at all.  the customer service is subpar and i am floored because i cannot get much deserved answers.",,"waiting, days, approved, keeps, telling, send, picture, bank statement, sent, times, showed, account number, name of bank, fullname, address, unable to be approved, questions, customer service, automated questions, automated answers, no help, not recommend, email, no response, subpar",,"reliability, customer service",,,,,,1,68,"waiting,4,days,approved,app,keeps,telling,need,send,picture,bank,statement,everything,asked,sent,least,5,times,showed,account,number,name,bank,full,name,address,comes,back,unable,approved,time,explanation,denied,questions,contact,customer,service,click,customer,service,gives,automated,questions,automated,answers,help,whatsoever,ever,heck,talk,recommend,app,customers,questions,nobody,talk,email,nothing,get,response,customer,service,subpar,floored,get,much,deserved,answers"
Investing,6/29/2021 11:26,td-ameritrade-mobile,Very easy,very easy to find info you need.,"easy to find, info",,usability,,,,,,,5,4,"easy,find,info,need"
Investing,2/1/2021 17:49,e-trade-invest-trade-save,The app fails constantly and customer service continues to drop my calls.,"i was on hold for nearly two hours, and all i'm trying to do is make a withdrawal. not only does the app fail constantly, but the online website is not functioning properly as well. the customer service reps kept trying to avoid my questions (i.e may i speak to a manager) and ultimately ended with me being put back in hold for another hour...only to miraculously have my call dropped. this is incredibly wrong, and it pains me to even give a single star to this app, who is currently stealing my money.",,"on hold, hours, make, withdrawal, app, fail, constantly, website, not functioning, customer service reps, avoid questions, put on hold, hours, call dropped, incredibly wrong, pains me, stealing money",,"reliability, customer service",,,,,,1,48,"hold,nearly,two,hours,trying,make,withdrawal,app,fail,constantly,online,website,functioning,properly,well,customer,service,reps,kept,trying,avoid,questions,i.e,may,speak,manager,ultimately,ended,put,back,hold,another,hour,...,miraculously,call,dropped,incredibly,wrong,pains,even,give,single,star,app,currently,stealing,money"
Investing,12/22/2021 12:27,acorns-invest-spare-change,Bad APP I can not find PHONE NUMBER TO CONTACT and CAN NOT WITHDRAW money from app .!!!! SAD,bad app i can not find phone number to contact and can not withdraw money from app .!!!! sad,,"bad, not find, phone number, not withdraw money","reliability, customer service",,,,,,,1,10,"bad,app,find,phone,number,contact,withdraw,money,app,sad"
Investing,12/17/2020 13:47,acorns-invest-spare-change,Customer service is atrocious,"their customer service is unfortunately based in another country so, should you have a problem, you will be met by agents with hilarious fake names who will recite awkward and almost incoherent script at you. because of the language barrier and lack of training, they probably won't be able to help you anyway. acorns is cute if you are in high school perhaps. if you are an adult with actual money to be handled, stick with a legitimate bank.",,"customer service, another country, problem, hilarious, fake names, recite, awkward, incoherent, script, language barrier, lack of training, not able to help",,customer service,,,,,,1,39,"customer,service,unfortunately,based,another,country,problem,met,agents,hilarious,fake,names,recite,awkward,almost,incoherent,script,language,barrier,lack,training,probably,wo,not,able,help,anyway,acorns,cute,high,school,perhaps,adult,actual,money,handled,stick,legitimate,bank"
Investing,12/31/2020 0:41,robinhood-investing-for-all,Review,i love the app. but i wish that i could get my free stock i have three people who say they have done everything that there is to join and i still have not got my free sticks but it's ok i left web bull because of this i hope this is not going to be the same problem over here.,,,,,,1,,,,5,24,"love,app,wish,could,get,free,stock,three,people,say,done,everything,join,still,got,free,sticks,ok,left,web,bull,hope,going,problem"
Investing,5/4/2021 22:53,robinhood-investing-for-all,Fire,i've mad money of this app so far can't even lie o love this thing i make money by just doing nothing,made money,,profitability,,,,,,,5,13,"mad,money,app,far,ca,not,even,lie,love,thing,make,money,nothing"
Investing,3/22/2021 15:07,td-ameritrade-mobile,Doesn't simplify a complex process,appreciate all the information and flexibility to inform the important decision making process.,"appreciate, information, flexibility, inform, important, decision making",,usability,,,,,,,5,8,"appreciate,information,flexibility,inform,important,decision,making,process"
Investing,2/11/2021 14:52,e-trade-invest-trade-save,Garbage,never works at the most critical time of the day: when the market opens. plus they charge more than $100 a month for real-time quotes. i've missed multiple opportunities because of this garbage app. don't use.,,"never works, critical time, market opens, charge more, real time quotes, missed opportunities, garbage app",,"reliability, affordable",,,,,,1,20,"never,works,critical,time,day,market,opens,plus,charge,100,month,real-time,quotes,missed,multiple,opportunities,garbage,app,not,use"
Investing,7/20/2021 0:24,acorns-invest-spare-change,Watch Out,"after finding out that you will make very very little money on your investment (think less then $1 in over a month), i withdrew my money and deleted the app. come to find out that even though i had no money invested and didn't even have the app anymore, they continued to remove money from my checking account as a service fee. huh?  service for what? not using your app??

turns out i actually lost money on this app because they didn't even tell me they were taking money from my account, hoping, i would imagine, that i wouldn't notice. well, i'm sorry but i did. 

now they refuse to return the money they stole from me. months after stealing money from me on the 17th of every month and nothing to show for it. 

how much money, you might ask?  only a few months at $1.00 per month. sure it's not a lot of money but had i not noticed, they would be stealing from me forever. and is your reputation worth the less then $5.00 i asked to be refunded?  apparently not because they said no to my refund request. 

go elsewhere to invest. customer service is definitely not a priority to this company.",,"withdrew money, deleted app, find out, no money invested, not have app, removed money, service fee, refuse to return, stole money, nothing to show, no to refund request, customer service, not a priority",,"reliability, fradulent activity, customer service, profitability",,1,,,,1,98,"finding,make,little,money,investment,think,less,1,month,withdrew,money,deleted,app,come,find,even,though,money,invested,not,even,app,anymore,continued,remove,money,checking,account,service,fee,huh,service,using,app,turns,actually,lost,money,app,not,even,tell,taking,money,account,hoping,would,imagine,would,not,notice,well,sorry,refuse,return,money,stole,months,stealing,money,17th,every,month,nothing,show,much,money,might,ask,months,1.00,per,month,sure,lot,money,noticed,would,stealing,forever,reputation,worth,less,5.00,asked,refunded,apparently,said,refund,request,go,elsewhere,invest,customer,service,definitely,priority,company"
Investing,3/10/2022 15:50,stockpile-investing-made-easy,Grandson,my 13 year old grandson wanted stock for a christmas present so i gave him socks with his stock info inside. thank you for a great site. this brings us even closer together and let's me impart a small amount of wisdom about stocks,,,,,,,,,,5,27,"13,year,old,grandson,wanted,stock,christmas,present,gave,socks,stock,info,inside,thank,great,site,brings,us,even,closer,together,let,impart,small,amount,wisdom,stocks"
Investing,3/20/2022 14:03,atom-finance-invest-smarter,Nice concept,"this app is a great concept, but doesn't work. atom will not connect to m1 via plaid. i tried months ago and didn't work. i reached out to customer care and they said they are working on the issue but didn't know when would be fixed. just checked and it's still not resolved. on plaid it shows the connection is linked but nothing is in atom. i'll be going back to personal capital as their platform doesn't have issues connecting to m1 via plaid. wasted $6.99 on a month subscription ","app, great concept","not work, not connect, tried months, reached out, customer care, not resolved, wasted, subscription",,reliability,,1,,,,1,49,"app,great,concept,not,work,atom,connect,m1,via,plaid,tried,months,ago,not,work,reached,customer,care,said,working,issue,not,know,would,fixed,checked,still,resolved,plaid,shows,connection,linked,nothing,atom,going,back,personal,capital,platform,not,issues,connecting,m1,via,plaid,wasted,6.99,month,subscription"
Investing,3/7/2022 22:17,public-com-stocks-crypto,Unable to withdraw cash,"never experienced such inconvenience for them to verify information to withdraw money. they have asked my to send drivers license with at least two angles, bank statements, debit card pictures with drivers license through email. they hold your money for hostage and asking for all your personal information

it's been over a month, and i'm still unable to withdraw my own money. i'm not the only one. google search and you will find a lot similar cases.",inconvience,"verify, information, withdraw money, asked, send, driver's license, bank statements, hold money, hostage, ask, personal information, over a month, unable to, withdraw, own money",,"fradulent activity, reliability, data safety",,,,"holding money for hostage, and asking personal information combines both reliability and data safety concerns",,1,40,"never,experienced,inconvenience,verify,information,withdraw,money,asked,send,drivers,license,least,two,angles,bank,statements,debit,card,pictures,drivers,license,email,hold,money,hostage,asking,personal,information,month,still,unable,withdraw,money,one,google,search,find,lot,similar,cases"
Investing,2/17/2021 12:37,power-e-trade-advanced-trading,Needs improvement,"e*trade's app is disappointing...  i get logged out frequently, customer service takes hours to get a hold of and their solution is to clear the cookies which never helps. you also can't be running the app & be on the desktop at the same time. hopefully they pay attention to developing the app soon. i have a lot of other hang ups as well but i'll just share that.",,"disappointing, logged out, frequently, customer service, takes hours, get hold of, solution, clear cookies, never helps",,"reliability, customer service, compatibility",,,,logged out could be accessibilit issue but its more like a bug; running app and be on desktop not allowed indicates app support issue on different device,,1,37,"e,trade,app,disappointing,...,get,logged,frequently,customer,service,takes,hours,get,hold,solution,clear,cookies,never,helps,also,ca,not,running,app,desktop,time,hopefully,pay,attention,developing,app,soon,lot,hang,ups,well,share"
Investing,11/17/2021 22:04,vanguard,Pretty atrocious,many retail investors logon to do simple things like move money from one find to another. this new app only allows for brokerage purchases of listed securities. there is literally no way to move money from one vanguard fund to another vanguard fund. this is a pretty clear example of not listening to clients or frontline employees. out of touch is how i'd sum it up.,,"only allows, brokerage purchases, listed securities, no way to, move money, clear example, not listening, clients or frontline employees, out of touch",,fradulent activity,,,,,,1,38,"many,retail,investors,logon,simple,things,like,move,money,one,find,another,new,app,allows,brokerage,purchases,listed,securities,literally,way,move,money,one,vanguard,fund,another,vanguard,fund,pretty,clear,example,listening,clients,frontline,employees,touch,sum"
Investing,8/10/2021 2:25,robinhood-investing-for-all,New investor Long Time Player,i have all ways invested by just by observing and mock examples this app make it so easy to navigate and learn at the same time,"easy to navigate, learn",,usability,,,,,,,5,11,"ways,invested,observing,mock,examples,app,make,easy,navigate,learn,time"
Investing,11/11/2021 19:05,rally-rd-invest-buy-sell,"Good app but, hard to find active investments","been using this app for over a year and enjoy the investment categories. they are constantly growing and new investments are always being offered. i would give this app a higher score, but it's hard to easily identify investments that are currently open.","constantly growing, new investments, offered","hard to easily identify, currently open",,usability,,,,,,3,23,"using,app,year,enjoy,investment,categories,constantly,growing,new,investments,always,offered,would,give,app,higher,score,hard,easily,identify,investments,currently,open"
Investing,8/28/2021 4:20,marketsim,App needs update,it seems that the app is no longer allowing to search for other etfs.this was recently a problem that had developed.,,"no longer allowing, search",,fradulent activity,,,,,,5,9,"seems,app,longer,allowing,search,etfs.this,recently,problem,developed"
Investing,1/28/2021 13:48,robinhood-investing-for-all,Colludes with big banks. Please stay away,"they are restricting the stocks you can purchase. i'm going to change my trader to webull and hope that robinhood gets investigated by sec as i find what's happening right now very suspect. just another way the people at the top finding a way to restrict those outside of the %1. shame on you! 

robinhood was suppose to be for the people. please change your name. you've sold your soul and it's disrespectful. lets start a movement and standup.",,"restrict, stocks, change, trader, shame",,fradulent activity,,1,,,,1,39,"restricting,stocks,purchase,going,change,trader,webull,hope,robinhood,gets,investigated,sec,find,happening,right,suspect,another,way,people,top,finding,way,restrict,outside,1,shame,robinhood,suppose,people,please,change,name,sold,soul,disrespectful,lets,start,movement,standup"
Investing,11/2/2021 1:58,invest-trade-m1-finance,Finally something more,"as simple as pie. it great to be able to take care of your investing with out having to manage stocks like a day trader. pick your stocks set the percentage feed it as often as you can. 
m1 also offers great lending based on your portfolio with the m1+. 
just great package of financial options !","simple as pie, able to take care, investing, manage stocks, offer, great package, financial options",,usability,,,,,,,5,30,"simple,pie,great,able,take,care,investing,manage,stocks,like,day,trader,pick,stocks,set,percentage,feed,often,m1,also,offers,great,lending,based,portfolio,m1+,great,package,financial,options"
Investing,3/25/2021 20:45,robinhood-investing-for-all,,i have enjoyed the app so far. it makes it really easy to buy and sell stock plus see historic trends.,"easy to buy, sell stock, see, historic trends",,usability,,,,,,,5,13,"enjoyed,app,far,makes,really,easy,buy,sell,stock,plus,see,historic,trends"
Investing,3/9/2021 12:55,fidelity-investments,Please fix the UI,"i use fidelity and used to use rh. 

rhs ui is way better. please fix this apps ui and give some quality updates. make it easy to trade. right now it's all confusing.",,"fix, ui, quality updates, make, easy to trade, confusing",,usability,,1,,,,3,21,"use,fidelity,used,use,rh,rhs,ui,way,better,please,fix,apps,ui,give,quality,updates,make,easy,trade,right,confusing"
Investing,3/26/2021 15:02,rally-rd-invest-buy-sell,Amazing Experience!!,"investing has always been something not interesting to me, but rally makes it so fun!! instead of intangible stocks, rally shows me amazing cars, collectibles, and unbelievable wines! this makes it so much easier to see a tangible return and i really enjoy looking through the investing items - one of a kind application!","not interesting, makes fun, easier to see, tangible return, enjoy looking, investing items, one of a kind",,usability,,,,,,,5,31,"investing,always,something,interesting,rally,makes,fun,instead,intangible,stocks,rally,shows,amazing,cars,collectibles,unbelievable,wines,makes,much,easier,see,tangible,return,really,enjoy,looking,investing,items,one,kind,application"
Investing,8/17/2021 1:57,acorns-invest-spare-change,Never signed up for a subscription,"i downloaded this app around 2 years ago just to check it out, decided i didn't want to use and never finished signing up.acorn randomly started charging me $3 a month like a year ago and i didn't notice until today. i never signed up for whatever they've been charging me for. i called there customer service and it was useless. apparently i'm not the only one. acorn can't be trusted with your banking info.",,"not want to use, never finished, signing up, randomly charging, not notice, called, customer service, useless, not the only one, not be trusted, banking info",,"fradulent activity, reliability",,,,"does not directly says there is a data safety violation, but only raises a concern (not sure if data safety falls into this)",,1,42,"downloaded,app,around,2,years,ago,check,decided,not,want,use,never,finished,signing,up.acorn,randomly,started,charging,3,month,like,year,ago,not,notice,today,never,signed,whatever,charging,called,customer,service,useless,apparently,one,acorn,ca,not,trusted,banking,info"
Investing,6/23/2021 5:15,titan-long-term-investing,Great all around,"makes investing accessible to beginners, while providing as much detailed information as you could want if you want to learn more about the companies they invest in and the reasons they do so. impeccable service, simple and intuitive app, and great returns on my investments so far.","accessible, begginers, provding, detailed, information, learn, reasons, impeccable, service, simple, intuitive, great returns",,"usability, profitability",,,,,service does not says customer service so I think its more of making use of the app,,5,24,"makes,investing,accessible,beginners,providing,much,detailed,information,could,want,want,learn,companies,invest,reasons,impeccable,service,simple,intuitive,app,great,returns,investments,far"
Investing,4/26/2021 21:44,robinhood-investing-for-all,Any one can use robinhood n trade,just lov how friendly their app is as newbie like me can trade without spending to much training to understand!,"friendly, newbie, trade, without, spending, training to understand",,usability,,,,,,,5,11,"lov,friendly,app,newbie,like,trade,without,spending,much,training,understand"
Investing,11/2/2021 0:50,thinkorswim-trade-invest,"It's very good, convienient and the best .","i guess a few more added features to their software will of sense. a notepad for each stock you own to refer back your highlights written will make sense. and in the chart a comparative 1)p/s , 2) p/e , 3)current ratio , 4)long term debt to capital, 5)free cash flow in multiples of stock price    for the entire industry group average versus individual stock and the second feature individual stock versus others stocks in the group. these features makes sense to me . its my view only.",,,,,,,,,,5,53,"guess,added,features,software,sense,notepad,stock,refer,back,highlights,written,make,sense,chart,comparative,1,p/s,2,p/e,3,current,ratio,4,long,term,debt,capital,5,free,cash,flow,multiples,stock,price,entire,industry,group,average,versus,individual,stock,second,feature,individual,stock,versus,others,stocks,group,features,makes,sense,view"
Investing,7/28/2021 17:00,wealthsimple-invest,Not US available anymore,this app is no longer accepting new accounts from the us. nothing visible in the app store stating this.,,"no longer, accept, new accounts, nothing visible",,service availability,,,,,,1,11,"app,longer,accepting,new,accounts,us,nothing,visible,app,store,stating"
Investing,5/8/2021 14:58,td-ameritrade-mobile,Great app,easy to use and provides a great platform to participate in trading.,easy to use,,usability,,,,,,,5,7,"easy,use,provides,great,platform,participate,trading"
Investing,1/7/2021 15:22,invest-trade-m1-finance,"As everyone says, service is extremely poor, but it works when it works.","edit: the app is actually still pretty great. 

still not worthy of being a primary holding brokerage, i've been a spend + member for over a year and an m1 member for over 2. finally, i got an automated robo call about suspicious charges (one of the 2 was important for me to authorize); they froze my account, and when i called in to settle the matter (all automated systems), they cancelled my card without asking my permission on a saturday night the week before christmas with no way to order a new one.","app, pretty great","not worthy, primary holding brokerage, automated, robo call, suspicious charges, important, authorize, froze, account, call, settle, matter, cancelled, card, without permission, no way to order, new one",,reliability,,,,,,4,48,"edit,app,actually,still,pretty,great,still,worthy,primary,holding,brokerage,spend,member,year,m1,member,2.,finally,got,automated,robo,call,suspicious,charges,one,2,important,authorize,froze,account,called,settle,matter,automated,systems,cancelled,card,without,asking,permission,saturday,night,week,christmas,way,order,new,one"
Investing,12/3/2021 11:23,power-e-trade-advanced-trading,Great app but missing the basics,"it's sad that a great app like this is missing some of the basics overview of portfolio performance . i would like to see how my account has been doing over a period of time, am i losing am i gaining and how much? right now  i have to get calculator and add all my gains  across accounts or in one account remember how much i started with then grab pen and paper and write them down or go to the other app to see the total balance across accounts. it's a deal breaker please look into it!!",,"missing, basics overview, portfolio performance, get calculator, add gains, across acounts, grab, pen and paper, ",,,,,,lack of feature,,3,45,"sad,great,app,like,missing,basics,overview,portfolio,performance,would,like,see,account,period,time,losing,gaining,much,right,get,calculator,add,gains,across,accounts,one,account,remember,much,started,grab,pen,paper,write,go,app,see,total,balance,across,accounts,deal,breaker,please,look"
Investing,6/30/2021 18:38,atom-finance-invest-smarter,Great Service,"i was skeptical at first, and i started the premium service yesterday with a promotion deal which provided three months premium for $0.99 then $9.99 for the next months. today was my first day with premium and the service has already earned enough to pay for the first year. it notified me of breaking news: apple had purchased a roku remote button. this resulted in roku skyrocketing and it allowed me to join the trade before it was over. i would recommend this to anyone who needs crucial information for the value and movements of stocks, as well as time sensitive news feeds.","skeptical, started, premium service, promotion deal, already earned, notified, breaking news, allowed to join, trade, would recommend, crucial information, value and movements of stocks, time sensitive news feeds",,profitability,,,,,,,5,55,"skeptical,first,started,premium,service,yesterday,promotion,deal,provided,three,months,premium,0.99,9.99,next,months,today,first,day,premium,service,already,earned,enough,pay,first,year,notified,breaking,news,apple,purchased,roku,remote,button,resulted,roku,skyrocketing,allowed,join,trade,would,recommend,anyone,needs,crucial,information,value,movements,stocks,well,time,sensitive,news,feeds"
Investing,9/17/2021 15:16,public-com-stocks-crypto,Do not use,by far worst investing platform. unable to withdraw funds although the same account was used for deposits. no ability to talk to a person to try and solve problems. basically just holding your money hostage with no path to resolution. strong recommend no one use this app.,,"worst, investing, platform, unable, withdraw, funds, no ability, talk to person, try and solve, problems, holding, money, hostage, no path, resolution, strong, recommend, no use, app",,"reliability, customer service",,,,,,1,28,"far,worst,investing,platform,unable,withdraw,funds,although,account,used,deposits,ability,talk,person,try,solve,problems,basically,holding,money,hostage,path,resolution,strong,recommend,one,use,app"
Investing,2/3/2022 10:05,td-ameritrade-mobile,Great app,easy to use and very great app. when are they adding crypto?,easy to use,,usability,,,,,,,5,6,"easy,use,great,app,adding,crypto"
Investing,8/17/2021 21:07,marketsim,Search Bar Bug. As of 8/17/21,"hi,  the app is great for practice and everything, but right now the search bar is not working.  is this a bug?","great, practice, search, not working, bug",,usability,reliability,,,,,,4,10,"hi,app,great,practice,everything,right,search,bar,working,bug"
Investing,2/4/2021 2:51,thinkorswim-trade-invest,Limited capability and dated UI,"this app has nowhere near the capability of thinkorswim desktop, or even the standard tda app really. my biggest complaint is that there is very limited company profile/fundamentals data in the quotes. for many companies there isn't even a company description, so you have to use other apps to research companies to see what you're even investing in. you can add description, sector, and industry rows to the table at the top of the quote but the space is so limited the text is cut off. also, the app does not have the ability to scan for stocks using stock hacker like tos desktop. the app also just feels really dated. the ui looks like it was designed 20 years ago, and it doesn't have ios 14 widgets or anything. also, some of the chart features and studies are buggy or don't work. you can not change the color of the volume bars in the volumeavg study (or any study that has histogram bars). no matter what color you select the bars are green. the volume profile study doesn't work at all. overall a very dated  and buggy app.",,"nowhere near, capability, biggest, complaint, limited, profile/fundamental data, not company description, no ability to scan, app dated, ui, designed, years ago, no ios widgets, chart features, studies, buggy, not work, not change color",,"usability, reliability",,1,"thinkorswim, tda, tos desktop",,,2,101,"app,nowhere,near,capability,thinkorswim,desktop,even,standard,tda,app,really,biggest,complaint,limited,company,profile/fundamentals,data,quotes,many,companies,not,even,company,description,use,apps,research,companies,see,even,investing,add,description,sector,industry,rows,table,top,quote,space,limited,text,cut,also,app,ability,scan,stocks,using,stock,hacker,like,tos,desktop,app,also,feels,really,dated,ui,looks,like,designed,20,years,ago,not,ios,14,widgets,anything,also,chart,features,studies,buggy,not,work,change,color,volume,bars,volumeavg,study,study,histogram,bars,matter,color,select,bars,green,volume,profile,study,not,work,overall,dated,buggy,app"
Investing,5/21/2021 1:43,robinhood-investing-for-all,Easy,able to look back at past prices of stocks and crypto to see if it would be a good idea to buy,,,,,,,,,,4,12,"able,look,back,past,prices,stocks,crypto,see,would,good,idea,buy"
Investing,5/17/2022 3:09,webull-investing-trading,Robin-hood All Over again,i left robinhood because of the trade halts and now webull did the same exact thing. i would only recommend company that don't use apex,,"trade, halt",,accessibility,,,robinhood,,,1,13,"left,robinhood,trade,halts,webull,exact,thing,would,recommend,company,not,use,apex"
Investing,6/16/2021 13:52,wealthfront-save-and-invest,Great app,does what it says it is going to do. no problems for me.,,,,,,,,,,5,3,"says,going,problems"
Investing,7/1/2022 22:23,stash-invest-build-wealth,Deactivation Gimmick,"the app itself is okay, inferior to others but for the purest of beginners it's ok. deactivating the account is a clown show though. i initially followed the procedures it told me to account stayed active. sent multiple to emails to customer service, account stayed active. at this point they have charged me 26 straight months since i originally requested the account be closed. once they got you, they apparently have no interest in letting you go","app, okay, inferior, to others, purest, beginners","deactivating, clown show, followed, procedures, told me, account, stayed active, sent, multiple, emails, customer service, months, requested, account, closed, no interest, letting you go",,"reliability, customer service",,,,,,1,42,"app,okay,inferior,others,purest,beginners,ok.,deactivating,account,clown,show,though,initially,followed,procedures,told,account,stayed,active,sent,multiple,emails,customer,service,account,stayed,active,point,charged,26,straight,months,since,originally,requested,account,closed,got,apparently,interest,letting,go"
Investing,12/8/2020 19:12,robinhood-investing-for-all,BEST BROKER TO START OFF,"i began my investment journey with robin hood. easy, simple and fast position taking and leaving. i do use other things for charting and graphs however to get in positions i use robin hood. 
you guys are amazing and thank you for making it easy enough for me to have the enthusiasm to begin trading. 
10/5 ten out of five!!!","easy, simple, fast, use, charting, graphs, enthusiasm, trading",,"usability, reliability",,,,,,,5,33,"began,investment,journey,robin,hood,easy,simple,fast,position,taking,leaving,use,things,charting,graphs,however,get,positions,use,robin,hood,guys,amazing,thank,making,easy,enough,enthusiasm,begin,trading,10/5,ten,five"
Investing,3/9/2021 13:45,betterment-investing-saving,Politics + Investing,"when i signed up for betterment,  i was simply looking for a robo advisor platform for investing. who would have guessed that became an invitation to delude me with controversial political messaging?  you can find similar or better investing services from other robo advisors without all the uninvited political activism.  #cancelbetterment",,"invitation, delude, controversial, political messaging, find, similar, other, better, investing service, without political activism, cancelbetterment",,reliability,,,,,,1,28,"signed,betterment,simply,looking,robo,advisor,platform,investing,would,guessed,became,invitation,delude,controversial,political,messaging,find,similar,better,investing,services,robo,advisors,without,uninvited,political,activism,cancelbetterment"
Investing,2/16/2021 14:49,robinhood-investing-for-all,Worst customer service,don't waste your time. takes forever for something to get fixed. try a different app.,,"not waste time, takes forever, to get fixed, try different app",,reliability,,,,,,5,11,"not,waste,time,takes,forever,something,get,fixed,try,different,app"
Investing,6/2/2022 20:08,uphold-buy-btc-eth-xrp,Uphold will rob you,"so uphold just took $63 from my account. i attempted to buy $400 of crypto on may 10th, however the transaction did not go through. so the bank pulled the $400 back from uphold to my checking account on may 10th. then on july 2nd they took $63 from my account claiming it's an account adjustment. they said they lent me $337 to cover $400 transaction and had to pull an additional $63 to cover the difference.

so to recap 400 went into uphold on may 10th. 400 went out may 11th (that balances to 0.00). then uphold took 63 on june 2nd for an account adjustment fee. 

i tried to explain this to their customer service team but they just kept saying it's to balance the difference. this app is a scam do not trust them with your money.",,"took, my account, attempt, buy, crypt, transaction, not go through, bank, pulled, back, checking account, took, account, claiming, account adjustment, said, lent, cover, transaction, pull, additional, cover, difference, recap, tool, account adjustment fee, tried, explain, customer service team, kept saying, balance, difference, app, scam, not trust, money",,"fradulent activity, customer service",,,,,,1,74,"uphold,took,63,account,attempted,buy,400,crypto,may,10th,however,transaction,go,bank,pulled,400,back,uphold,checking,account,may,10th,july,2nd,took,63,account,claiming,account,adjustment,said,lent,337,cover,400,transaction,pull,additional,63,cover,difference,recap,400,went,uphold,may,10th,400,went,may,11th,balances,0.00,uphold,took,63,june,2nd,account,adjustment,fee,tried,explain,customer,service,team,kept,saying,balance,difference,app,scam,trust,money"
Investing,2/27/2021 19:06,betterment-investing-saving,"Easy, efficient, updated",love the ap. easy to use and intuitive. functions well and no redundancy. everything is easy to find and transfer happen in 1-2 days instead of some of the other savings accounts that take 5-7 days!,"love, easy to use, intuitive, functions well, no redundancy, easy to find, transfer, happen, days, instead, other saving accounts",,"usability, reliability",,,,,,,5,21,"love,ap,easy,use,intuitive,functions,well,redundancy,everything,easy,find,transfer,happen,1-2,days,instead,savings,accounts,take,5-7,days"
Investing,5/31/2021 18:02,robinhood-investing-for-all,Good but....,"this is a very easy app to use, but i been encountering lots of glitches in certain days that is not good.","easy to use, ","encountering, glitches, days, not good",usability,reliability,,,,,,5,9,"easy,app,use,encountering,lots,glitches,certain,days,good"
